"ID","Total.Enrollment","Female","Male","Asian","Black","Hispanic","White","Disabilities","English.Language.Learners","Poverty","Economic.Needs.Index","MAT_num_tested","MAT_mean_score","ELA_num_tested","ELA_mean_score"
"06M128 2014",603,0.468,0.532,0.002,0.03,0.964,0.005,0.159,0.337,0.944,NA,269,290,254,50
"06M128 2015",626,0.489,0.511,0.005,0.03,0.96,0.005,0.165,0.305,0.927,0.764,242,289,231,46
"06M128 2016",631,0.501,0.499,0.006,0.032,0.948,0.013,0.171,0.282,0.933,0.783,246,295,233,55
"06M128 2017",622,0.477,0.523,0.016,0.031,0.931,0.014,0.186,0.268,0.932,0.768,251,295,237,54
"06M132 2013",763,0.477,0.523,0.004,0.005,0.974,0.014,0.161,0.544,1,NA,384,274,365,41
"06M132 2014",632,0.468,0.532,0,0.006,0.983,0.009,0.19,0.528,1,NA,322,276,304,43
"06M132 2015",535,0.46,0.54,0.002,0.006,0.979,0.009,0.213,0.48,1,0.842,323,279,299,47
"06M132 2016",441,0.449,0.551,0.002,0.007,0.982,0.007,0.243,0.458,1,0.838,277,281,271,52
"06M132 2017",376,0.465,0.535,0.003,0.011,0.976,0.005,0.226,0.484,1,0.79,228,278,214,51
"06M143 2013",498,0.448,0.552,0,0.016,0.968,0.012,0.195,0.478,0.731,NA,469,274,437,34
"06M143 2014",446,0.466,0.534,0,0.009,0.964,0.025,0.204,0.473,0.796,NA,412,271,398,35
"06M143 2015",398,0.455,0.545,0,0.01,0.97,0.02,0.219,0.457,0.759,0.829,375,272,344,35
"06M143 2016",361,0.385,0.615,0,0.011,0.956,0.033,0.255,0.512,0.72,0.797,326,266,300,41
"06M143 2017",316,0.389,0.611,0,0.009,0.946,0.041,0.256,0.551,0.671,0.772,299,269,265,43
"06M152 2013",706,0.47,0.53,0.003,0.023,0.965,0.01,0.167,0.35,0.963,NA,386,274,361,43
"06M152 2014",651,0.473,0.527,0.003,0.011,0.972,0.011,0.175,0.341,0.949,NA,324,292,306,40
"06M152 2015",664,0.482,0.518,0.006,0.015,0.961,0.012,0.185,0.331,0.946,0.854,276,292,261,50
"06M152 2016",642,0.477,0.523,0.003,0.016,0.96,0.014,0.204,0.288,0.914,0.84,263,293,257,57
"06M152 2017",588,0.488,0.512,0.003,0.027,0.952,0.01,0.219,0.293,0.905,0.863,254,289,238,54
"06M153 2013",942,0.504,0.496,0.014,0.171,0.787,0.024,0.149,0.312,0.919,NA,417,289,407,52
"06M153 2014",876,0.489,0.511,0.017,0.174,0.779,0.024,0.167,0.269,0.889,NA,414,282,395,47
"06M153 2015",795,0.507,0.493,0.019,0.172,0.765,0.031,0.157,0.283,0.869,0.822,360,293,351,50
"06M153 2016",743,0.51,0.49,0.023,0.199,0.74,0.026,0.163,0.288,0.875,0.806,318,288,311,61
"06M153 2017",676,0.525,0.475,0.024,0.203,0.732,0.031,0.155,0.272,0.836,0.782,283,297,277,66
"06M173 2013",701,0.476,0.524,0.01,0.026,0.933,0.027,0.111,0.181,0.92,NA,298,292,279,53
"06M173 2014",695,0.475,0.525,0.014,0.026,0.918,0.035,0.131,0.193,0.883,NA,311,299,295,51
"06M173 2015",629,0.498,0.502,0.01,0.022,0.93,0.033,0.14,0.202,0.876,0.71,295,300,284,52
"06M173 2016",593,0.487,0.513,0.025,0.029,0.916,0.029,0.16,0.157,0.855,0.696,271,291,257,57
"06M173 2017",548,0.478,0.522,0.033,0.018,0.927,0.018,0.153,0.168,0.869,0.681,249,302,240,64
"06M178 2014",244,0.471,0.529,0.012,0.037,0.811,0.131,0.25,0.205,0.783,NA,54,307,54,72
"06M178 2015",271,0.476,0.524,0.011,0.026,0.815,0.14,0.258,0.177,0.768,0.687,101,307,102,70
"06M178 2016",304,0.457,0.543,0.013,0.016,0.842,0.122,0.243,0.138,0.78,0.655,142,310,142,77
"06M178 2017",277,0.462,0.538,0.014,0.018,0.841,0.119,0.256,0.126,0.765,0.612,119,314,121,75
"06M187 2013",776,0.512,0.488,0.037,0.023,0.568,0.338,0.126,0.071,0.496,NA,478,307,474,70
"06M187 2014",778,0.505,0.495,0.027,0.027,0.545,0.362,0.141,0.09,0.469,NA,476,314,471,74
"06M187 2015",792,0.489,0.511,0.028,0.033,0.571,0.342,0.157,0.083,0.495,0.415,482,317,490,75
"06M187 2016",802,0.493,0.507,0.021,0.03,0.576,0.34,0.173,0.074,0.501,0.425,489,316,509,80
"06M187 2017",807,0.499,0.501,0.029,0.03,0.558,0.347,0.176,0.061,0.437,0.392,450,315,482,81
"06M189 2013",NA,0.498,0.502,0.003,0.004,0.978,0.014,0.127,0.383,0.949,NA,507,287,485,52
"06M189 2014",NA,0.504,0.496,0.002,0.006,0.976,0.013,0.15,0.318,0.913,NA,512,292,488,52
"06M189 2015",NA,0.516,0.484,0.003,0.006,0.965,0.023,0.148,0.302,0.932,0.831,486,291,475,48
"06M189 2016",NA,0.509,0.491,0.002,0.007,0.965,0.024,0.16,0.293,0.903,0.809,456,289,439,60
"06M189 2017",911,0.509,0.491,0.004,0.008,0.955,0.032,0.156,0.282,0.909,0.774,430,287,411,57
"06M192 2013",381,0.507,0.493,0.008,0.05,0.919,0.018,0.142,0.331,0.966,NA,162,299,157,50
"06M192 2014",353,0.493,0.507,0.006,0.059,0.924,0.011,0.17,0.32,0.955,NA,155,290,150,47
"06M192 2015",314,0.487,0.513,0.006,0.057,0.927,0.01,0.188,0.303,0.924,0.802,123,287,117,47
"06M192 2016",307,0.459,0.541,0.003,0.065,0.915,0.013,0.192,0.254,0.958,0.788,130,284,123,49
"06M192 2017",281,0.459,0.541,0.007,0.089,0.883,0.014,0.192,0.32,0.922,0.764,124,300,122,59
"06M209 2015",75,0.36,0.64,0,0.133,0.827,0.04,0.267,0.453,0.907,0.776,64,284,60,40
"06M209 2016",165,0.461,0.539,0.006,0.109,0.848,0.03,0.23,0.339,0.867,0.8,151,297,147,54
"06M209 2017",246,0.443,0.557,0.012,0.106,0.846,0.028,0.207,0.305,0.907,0.773,233,292,232,60
"06M210 2013",463,0.523,0.477,0.004,0.03,0.961,0.004,0.164,0.413,0.957,NA,289,292,279,56
"06M210 2014",468,0.526,0.474,0.009,0.024,0.966,0.002,0.19,0.353,0.947,NA,282,297,271,56
"06M210 2015",438,0.502,0.498,0.016,0.025,0.957,0.002,0.215,0.32,0.938,0.782,269,302,259,61
"06M210 2016",446,0.491,0.509,0.009,0.027,0.964,0,0.231,0.327,0.928,0.774,265,305,259,67
"06M210 2017",453,0.501,0.499,0.013,0.031,0.949,0.002,0.234,0.36,0.909,0.745,262,307,255,69
"06M218 2013",309,0.43,0.57,0.003,0.039,0.951,0.006,0.256,0.456,0.968,NA,282,277,257,30
"06M218 2014",255,0.435,0.565,0.004,0.039,0.941,0.016,0.251,0.514,0.937,NA,239,277,222,36
"06M218 2015",241,0.502,0.498,0,0.029,0.942,0.021,0.232,0.506,0.921,0.828,236,276,213,33
"06M218 2016",229,0.489,0.511,0,0.022,0.934,0.026,0.201,0.489,0.939,0.777,225,273,195,50
"06M218 2017",198,0.505,0.495,0.005,0.03,0.934,0.005,0.192,0.465,0.939,0.792,174,273,162,53
"06M223 2013",296,0.524,0.476,0.02,0.101,0.848,0.03,0.078,0.03,0.851,NA,293,317,293,77
"06M223 2014",283,0.519,0.481,0.025,0.085,0.827,0.06,0.127,0.042,0.852,NA,276,319,276,78
"06M223 2015",280,0.546,0.454,0.025,0.104,0.811,0.05,0.125,0.021,0.807,0.706,269,322,271,79
"06M223 2016",274,0.602,0.398,0.015,0.091,0.843,0.04,0.117,0.036,0.748,0.698,182,319,266,87
"06M223 2017",286,0.622,0.378,0.024,0.098,0.832,0.038,0.115,0.017,0.79,0.676,277,324,277,88
"06M278 2013",514,0.502,0.498,0.031,0.027,0.802,0.136,0.119,0.13,0.745,NA,357,304,357,64
"06M278 2014",532,0.508,0.492,0.041,0.024,0.78,0.147,0.156,0.135,0.718,NA,360,311,360,68
"06M278 2015",538,0.496,0.504,0.032,0.026,0.779,0.156,0.162,0.138,0.673,0.568,340,312,342,72
"06M278 2016",533,0.516,0.484,0.023,0.028,0.775,0.167,0.176,0.118,0.659,0.557,319,315,334,79
"06M278 2017",551,0.517,0.483,0.013,0.025,0.784,0.169,0.187,0.134,0.65,0.55,316,315,351,81
"06M293 2013",602,0.595,0.405,0.005,0.048,0.927,0.018,0.136,0.042,0.875,NA,253,311,252,65
"06M293 2014",593,0.573,0.427,0.007,0.042,0.933,0.015,0.14,0.044,0.887,NA,246,318,247,69
"06M293 2015",587,0.562,0.438,0.01,0.036,0.93,0.02,0.14,0.051,0.78,0.701,220,315,240,72
"06M293 2016",609,0.567,0.433,0.008,0.048,0.92,0.02,0.149,0.051,0.793,0.713,252,313,252,79
"06M293 2017",598,0.55,0.45,0.005,0.035,0.931,0.025,0.152,0.052,0.761,0.71,198,300,241,76
"06M311 2013",432,0.546,0.454,0.021,0.014,0.875,0.081,0.132,0.241,0.769,NA,257,303,259,62
"06M311 2014",432,0.549,0.451,0.019,0.016,0.873,0.081,0.139,0.231,0.771,NA,261,303,260,65
"06M311 2015",428,0.551,0.449,0.019,0.014,0.904,0.061,0.131,0.222,0.771,0.698,243,297,244,62
"06M311 2016",431,0.55,0.45,0.019,0.012,0.914,0.053,0.144,0.223,0.777,0.684,254,295,253,67
"06M311 2017",423,0.518,0.482,0.014,0.012,0.92,0.047,0.132,0.243,0.792,0.675,257,297,252,69
"06M314 2013",249,0.53,0.47,0.056,0.076,0.53,0.321,0.116,0.096,0.442,NA,105,296,104,66
"06M314 2014",258,0.531,0.469,0.047,0.066,0.508,0.353,0.151,0.07,0.376,NA,115,308,115,72
"06M314 2015",259,0.537,0.463,0.05,0.05,0.49,0.371,0.127,0.062,0.34,0.406,102,316,102,82
